Region,Crop,Emotion,Post_Text,Date,Sentiment_Score,Price,Demand_Index,Temperature,Rainfall
Andhra Pradesh,Millets,Angry,aphid,27-03-2025,1,7072.11,118,38.66,17.39
Gujarat,Cotton,Fear,blight,16-04-2025,0,3305.53,140,38.27,7.62
Gujarat,Maize,Angry,pest attack,02-02-2025,1,6734.07,72,37.48,8.81
Maharashtra,Millets,Positive,infection,15-04-2025,0,9096.53,59,29.39,19.38
Telangana,Pulses,Negative,aphid,22-06-2025,0,9015.4,90,32.54,17.75
Tamil Nadu,Rice,Negative,blight,11-06-2025,0,7790.8,79,34.94,8.68
Karnataka,Wheat,Angry,infection,27-06-2025,-1,4990.47,81,35.92,5.87
Telangana,Pulses,Neutral,blight,16-05-2025,-1,5648,63,23.4,1.58
Punjab,Pulses,Happy,borer,30-05-2025,-1,3809.59,72,29.19,13.34
Punjab,Millets,Sad,healthy crop,10-02-2025,0,3517.03,125,25.98,19.24
Gujarat,Sugarcane,Angry,wilt,20-02-2025,0,9995.61,63,24.74,11.44
Maharashtra,Sugarcane,Sad,pest attack,18-06-2025,0,5770.64,137,35.57,19.47
Maharashtra,Millets,Sad,blight,05-06-2025,1,8757.32,84,32.42,13.56
Gujarat,Maize,Negative,pest attack,21-03-2025,-1,8413.6,86,34.65,1.8
Telangana,Soybean,Fear,infection,21-02-2025,0,3925.12,96,30.62,18.27
Punjab,Maize,Sad,borer,17-03-2025,1,8393.66,74,29.37,1.51
Punjab,Cotton,Fear,healthy crop,04-04-2025,-1,3453.21,73,30.73,9.1
Gujarat,Sugarcane,Fear,aphid,28-01-2025,-1,7529.56,119,37.68,11.23
Maharashtra,Cotton,Negative,borer,29-06-2025,-1,4933.67,57,20.91,0.74
Tamil Nadu,Wheat,Negative,blight,18-05-2025,-1,3758.92,125,38.99,13.93
Maharashtra,Pulses,Neutral,rust,17-06-2025,1,3891.02,112,38.78,5.59
Gujarat,Soybean,Happy,borer,24-04-2025,1,9924.98,72,39.62,7.35
Gujarat,Soybean,Positive,rust,12-03-2025,0,4328.66,108,21.83,4.24
Gujarat,Rice,Positive,aphid,04-03-2025,1,10179.14,86,21.37,15.3
Andhra Pradesh,Cotton,Happy,aphid,07-02-2025,1,8739.7,95,37.17,2.89
Andhra Pradesh,Sugarcane,Neutral,disease,19-06-2025,-1,8938.77,85,35.8,4.76
Telangana,Rice,Neutral,wilt,14-01-2025,1,4071.5,74,34.91,9.52
Punjab,Soybean,Negative,borer,09-05-2025,0,4550.85,143,35.66,17.34
Maharashtra,Sugarcane,Angry,pest attack,16-01-2025,1,10259.57,114,33.72,9.81
Tamil Nadu,Wheat,Negative,aphid,05-06-2025,1,4163.58,139,32.66,10.97
Telangana,Pulses,Sad,borer,10-05-2025,0,7237.99,139,22.29,13.09
Punjab,Cotton,Fear,borer,28-02-2025,-1,5631.21,91,28.32,1.9
Tamil Nadu,Soybean,Sad,aphid,09-02-2025,-1,7612.89,51,36.64,1.86
Karnataka,Soybean,Neutral,healthy crop,16-01-2025,0,7105.26,92,33.4,8.22
Punjab,Pulses,Positive,wilt,03-06-2025,1,5307.86,124,24.25,13.13
Andhra Pradesh,Wheat,Optimistic,healthy crop,05-04-2025,1,3959.91,88,36.14,16.9
Punjab,Rice,Sad,pest attack,16-02-2025,-1,4660.41,83,27.02,3.63
Andhra Pradesh,Pulses,Negative,infection,12-06-2025,0,9802.67,117,24.3,8.4
Telangana,Maize,Optimistic,wilt,25-03-2025,0,8437.85,60,37.67,3.11
Punjab,Rice,Negative,wilt,24-04-2025,-1,7436.44,96,28.28,4.31
Maharashtra,Wheat,Optimistic,rust,29-01-2025,-1,4747.03,102,30.54,6.17
Andhra Pradesh,Pulses,Positive,pest attack,22-02-2025,0,5109.94,67,35.28,5.79
Karnataka,Rice,Angry,rust,14-02-2025,1,4110.82,89,30.01,16.67
Punjab,Soybean,Negative,rust,11-01-2025,0,6053.54,59,37.24,11.52
Maharashtra,Pulses,Fear,wilt,30-01-2025,0,5835.23,71,36.03,12.36
Punjab,Soybean,Negative,rust,28-01-2025,1,4920.99,127,21.57,17.41
Gujarat,Soybean,Happy,aphid,13-02-2025,0,3534.66,117,30.2,18.12
Telangana,Soybean,Neutral,blight,27-01-2025,1,4164.56,137,23.06,15.18
Karnataka,Maize,Angry,borer,25-05-2025,1,8508.92,132,32.86,19.73
Telangana,Soybean,Neutral,borer,18-01-2025,-1,6056.17,75,31.83,7.04
Karnataka,Sugarcane,Angry,borer,10-01-2025,0,3398.23,59,32.89,19.55
Karnataka,Pulses,Angry,no issue,22-05-2025,0,9679.62,55,28.99,16.2
Gujarat,Cotton,Optimistic,no issue,02-05-2025,-1,6218.03,97,22.07,17.98
Telangana,Wheat,Neutral,pest attack,05-03-2025,-1,7655.15,107,30.45,3.17
Telangana,Sugarcane,Fear,rust,28-03-2025,0,7752.28,130,32.95,1.32
Karnataka,Pulses,Sad,wilt,18-06-2025,0,9750.87,69,26.67,11.65
Andhra Pradesh,Soybean,Sad,rust,03-02-2025,-1,6877.69,79,31.18,12.87
Telangana,Maize,Negative,rust,11-05-2025,-1,5360.28,63,39.02,6.83
Punjab,Millets,Happy,blight,05-02-2025,1,4243.77,160,22.02,15.42
Punjab,Rice,Optimistic,no issue,03-02-2025,-1,7049.87,63,36.63,15.42
Punjab,Maize,Angry,pest attack,16-04-2025,-1,5306.18,96,32.21,15.05
Punjab,Millets,Happy,healthy crop,03-03-2025,0,5166.28,110,38.08,3.88
Gujarat,Millets,Angry,wilt,08-04-2025,1,6704.08,80,36.34,16.03
Andhra Pradesh,Sugarcane,Positive,borer,06-04-2025,-1,6761.27,106,37.02,5.7
Punjab,Maize,Sad,borer,12-05-2025,0,4031.44,78,36.33,17.69
Karnataka,Pulses,Positive,rust,09-05-2025,1,5794.96,70,27.5,0.56
Karnataka,Soybean,Neutral,infection,10-01-2025,-1,4742.2,129,36.62,15.18
Tamil Nadu,Millets,Positive,disease,05-01-2025,1,5058.46,130,38.8,12.18
Tamil Nadu,Wheat,Sad,blight,19-03-2025,0,3852.94,131,35.88,9.14
Karnataka,Millets,Positive,healthy crop,28-05-2025,0,4693.57,104,20.03,7.06
Maharashtra,Pulses,Neutral,disease,15-05-2025,0,9822.58,117,30.88,15.73
Maharashtra,Rice,Fear,borer,12-01-2025,0,7449.7,82,34.95,7.14
Karnataka,Soybean,Happy,disease,29-05-2025,-1,7979.81,45,27.05,6.77
Gujarat,Maize,Angry,borer,11-06-2025,1,4402.92,151,35.52,9.15
Telangana,Cotton,Positive,blight,11-01-2025,0,5209.17,100,39.78,10.86
Telangana,Rice,Happy,wilt,02-04-2025,-1,8925.41,123,26.64,2.49
Telangana,Pulses,Fear,borer,09-04-2025,-1,5235.89,128,29.95,18.49
Maharashtra,Sugarcane,Negative,rust,21-01-2025,0,6014.25,73,30.91,6.42
Karnataka,Soybean,Sad,wilt,25-04-2025,0,7218.35,138,28.88,8.94
Gujarat,Soybean,Fear,wilt,13-06-2025,-1,9570.61,49,33.42,8.12
Maharashtra,Maize,Positive,infection,05-06-2025,0,7746.62,66,21.34,15.57
Telangana,Soybean,Fear,no issue,09-01-2025,-1,6999.85,87,27.44,15.26
Maharashtra,Maize,Optimistic,rust,22-03-2025,0,7546.93,64,20.52,3.72
Maharashtra,Pulses,Negative,wilt,08-03-2025,-1,7785.35,118,25.71,18.33
Tamil Nadu,Cotton,Negative,infection,19-01-2025,0,6164.3,106,39.95,16.21
Punjab,Soybean,Optimistic,disease,21-05-2025,0,6795.2,70,34.24,18.55
Gujarat,Maize,Optimistic,healthy crop,27-02-2025,1,3989.73,77,24.73,9.88
Telangana,Soybean,Angry,healthy crop,03-02-2025,-1,7166.4,79,27.96,14.34
Tamil Nadu,Pulses,Fear,no issue,19-01-2025,0,3877.29,59,29,13.6
Telangana,Maize,Neutral,infection,21-04-2025,-1,6246.4,55,30.36,6.08
Andhra Pradesh,Soybean,Happy,aphid,13-05-2025,1,9533.67,92,23.93,19.13
Telangana,Maize,Sad,no issue,17-05-2025,1,3882.2,135,38.83,3.08
Gujarat,Soybean,Positive,pest attack,21-01-2025,-1,3089.94,113,25.29,4.22
Maharashtra,Pulses,Positive,borer,10-06-2025,0,6819.04,88,29.66,16.09
Gujarat,Pulses,Sad,borer,19-01-2025,1,7951.91,113,29.69,4.08
Maharashtra,Maize,Optimistic,aphid,30-03-2025,0,9827.62,97,30.3,2.12
Andhra Pradesh,Millets,Negative,wilt,26-04-2025,0,4735.43,87,38.91,17.28
Tamil Nadu,Cotton,Neutral,aphid,28-05-2025,-1,7909.93,60,29.97,10.29
Tamil Nadu,Sugarcane,Angry,pest attack,24-01-2025,-1,9415.54,70,24.3,7.06
Karnataka,Sugarcane,Angry,no issue,17-06-2025,1,7864.79,61,36.94,8.62
Telangana,Soybean,Fear,aphid,12-01-2025,1,6018.13,84,27.25,5.77
Tamil Nadu,Millets,Sad,no issue,24-06-2025,0,7277.3,62,27.88,15.9
Telangana,Soybean,Neutral,blight,04-06-2025,0,6563.86,55,20.78,14.27
Punjab,Millets,Angry,infection,05-06-2025,0,9251.92,128,26.37,7.86
Maharashtra,Sugarcane,Optimistic,healthy crop,11-05-2025,1,6968.13,98,29.5,0.33
Telangana,Wheat,Fear,no issue,20-03-2025,1,8822.35,148,32.59,11.94
Telangana,Cotton,Positive,no issue,03-05-2025,1,4419.39,139,35.49,7.6
Punjab,Cotton,Positive,no issue,29-06-2025,1,3873.06,100,28.38,8.26
Andhra Pradesh,Pulses,Angry,pest attack,30-06-2025,0,3966.58,91,39.96,9.57
Tamil Nadu,Soybean,Neutral,borer,17-05-2025,-1,5225.43,138,37.35,13.61
Punjab,Sugarcane,Angry,blight,05-03-2025,-1,4793.34,78,35.42,14.1
Gujarat,Millets,Optimistic,borer,31-03-2025,1,7210.31,152,25.47,2.44
Gujarat,Pulses,Fear,aphid,07-02-2025,0,5033.17,141,21.58,18.48
Gujarat,Sugarcane,Angry,blight,21-02-2025,-1,8641.44,111,33.92,2.75
Maharashtra,Cotton,Happy,pest attack,21-06-2025,-1,9191.16,69,21.05,8.27
Gujarat,Millets,Negative,infection,02-01-2025,0,9751.63,70,28.14,18.7
Tamil Nadu,Millets,Happy,wilt,24-03-2025,-1,4886.07,138,21.79,11.48
Maharashtra,Rice,Neutral,rust,15-02-2025,-1,9430.19,90,35.76,3.73
Gujarat,Sugarcane,Positive,pest attack,18-03-2025,0,6975.73,92,25.69,19.78
Maharashtra,Millets,Neutral,healthy crop,30-04-2025,0,4909.86,92,23.25,9.18
Telangana,Maize,Positive,aphid,17-03-2025,0,6974.47,72,32.22,12.77
Tamil Nadu,Pulses,Optimistic,disease,13-04-2025,-1,7547.83,57,29.55,18.72
Karnataka,Sugarcane,Fear,blight,25-04-2025,1,8567.1,98,31.65,11.46
Telangana,Soybean,Happy,pest attack,20-06-2025,-1,3666.21,91,33.72,18.46
Gujarat,Sugarcane,Negative,wilt,05-04-2025,0,7302.38,67,29.56,9.1
Maharashtra,Soybean,Fear,healthy crop,01-05-2025,1,8561.85,87,35.24,13.61
Maharashtra,Wheat,Angry,healthy crop,30-06-2025,0,5532.49,64,21.24,10.95
Maharashtra,Cotton,Neutral,infection,25-03-2025,1,9169.77,147,24.11,11.66
Karnataka,Millets,Positive,borer,03-02-2025,0,6592.73,57,31.18,13.46
Telangana,Rice,Fear,wilt,01-01-2025,0,8220.63,55,28.47,14.01
Maharashtra,Rice,Negative,borer,09-01-2025,-1,4873.64,57,35.32,19.57
Gujarat,Pulses,Optimistic,rust,25-04-2025,0,9087.34,98,21.6,19.28
Punjab,Maize,Optimistic,disease,15-02-2025,-1,9771.32,56,34.56,4.45
Karnataka,Rice,Sad,borer,22-06-2025,-1,7848.83,88,36.47,4.95
Telangana,Maize,Sad,blight,29-01-2025,1,3457.56,138,35.32,17.68
Karnataka,Cotton,Happy,disease,26-01-2025,0,7157.61,136,34.07,0.97
Gujarat,Rice,Fear,borer,01-03-2025,1,7029.2,159,21.13,10.08
Telangana,Cotton,Optimistic,no issue,03-06-2025,0,8407.77,80,26.04,2.87
Gujarat,Cotton,Fear,wilt,12-03-2025,1,3716.41,154,38.23,12.52
Tamil Nadu,Millets,Positive,aphid,14-06-2025,0,7699.4,90,33.93,8.17
Telangana,Pulses,Neutral,healthy crop,02-05-2025,0,4686.78,140,22.89,9.26
Karnataka,Pulses,Fear,healthy crop,16-05-2025,0,3938.65,76,26.61,1.58
Tamil Nadu,Soybean,Negative,healthy crop,18-02-2025,-1,3185.32,117,32.06,17.47
Andhra Pradesh,Cotton,Angry,blight,27-03-2025,1,5404.12,87,38.74,19.24
Karnataka,Millets,Happy,no issue,30-06-2025,-1,4148.57,110,26.43,5.66
Tamil Nadu,Soybean,Sad,wilt,03-04-2025,-1,6390.26,52,36.06,14.45
Punjab,Soybean,Happy,aphid,22-03-2025,0,5897.51,78,34.83,0.32
Maharashtra,Pulses,Sad,infection,20-02-2025,-1,5133.09,71,29.99,13.09
Gujarat,Soybean,Sad,borer,14-06-2025,1,8369.32,153,35.9,3.39
Gujarat,Millets,Neutral,healthy crop,14-06-2025,1,9905.45,69,38.9,13.36
Punjab,Rice,Fear,infection,11-06-2025,1,4861.47,61,24.37,9.12
Karnataka,Millets,Angry,pest attack,02-01-2025,0,6725.49,52,30.59,5.49
Telangana,Rice,Fear,infection,28-01-2025,-1,9221.46,70,23.84,10.53
Punjab,Soybean,Sad,rust,21-01-2025,1,5792.57,132,24.86,13.94
Telangana,Wheat,Positive,disease,14-04-2025,0,5654.85,57,32.73,14.06
Karnataka,Millets,Fear,aphid,25-05-2025,1,10136.07,127,38.38,4.6
Punjab,Millets,Sad,pest attack,20-01-2025,1,7947.08,129,31.27,0.66
Punjab,Soybean,Positive,blight,31-05-2025,1,4273.48,110,38.58,5.99
Maharashtra,Cotton,Fear,healthy crop,26-03-2025,-1,5438.97,128,34.48,10.02
Telangana,Rice,Negative,rust,01-03-2025,0,8870.72,148,32.28,11.91
Punjab,Soybean,Positive,wilt,26-04-2025,1,6605.39,108,28.64,13.59
Gujarat,Pulses,Negative,no issue,17-03-2025,0,8586.39,60,25.36,7.6
Punjab,Maize,Fear,aphid,03-04-2025,-1,3644.82,79,28.89,15.23
Karnataka,Maize,Negative,infection,21-04-2025,0,6141.91,102,22.07,1.79
Maharashtra,Wheat,Optimistic,rust,04-01-2025,1,5220.49,70,34.5,11.19
Andhra Pradesh,Maize,Fear,infection,05-02-2025,0,4882.43,68,21.27,8.69
Tamil Nadu,Sugarcane,Angry,disease,03-04-2025,0,4761.9,130,29.92,12.33
Tamil Nadu,Wheat,Neutral,wilt,02-01-2025,-1,9475.32,119,27.6,17.24
Tamil Nadu,Soybean,Fear,no issue,04-02-2025,0,5103.05,138,24.02,6.28
Tamil Nadu,Soybean,Sad,borer,28-05-2025,1,8639,95,36.33,7.86
Karnataka,Cotton,Neutral,healthy crop,07-01-2025,-1,9478.71,130,24.19,15.95
Punjab,Wheat,Fear,borer,05-02-2025,0,7433.35,134,23.08,8.46
Tamil Nadu,Wheat,Angry,no issue,03-05-2025,1,7282.58,148,28.37,0.74
Telangana,Wheat,Negative,blight,18-06-2025,1,7786.12,138,20.89,19.67
Gujarat,Pulses,Optimistic,rust,28-01-2025,0,3073.83,115,34.94,11.16
Gujarat,Cotton,Angry,aphid,11-04-2025,1,6477.35,148,30.01,6.9
Karnataka,Millets,Negative,wilt,17-04-2025,0,9443.83,143,22.83,6.24
Tamil Nadu,Cotton,Angry,aphid,02-05-2025,-1,3438.96,97,26.38,6.01
Punjab,Wheat,Positive,aphid,15-06-2025,1,4025.55,154,24.88,3.49
Andhra Pradesh,Soybean,Fear,borer,01-03-2025,1,8810.24,83,32.81,8.64
Karnataka,Cotton,Angry,no issue,20-04-2025,1,5962.8,86,25.57,14.08
Punjab,Wheat,Negative,healthy crop,17-02-2025,1,5699.97,74,25.25,17.25
Maharashtra,Soybean,Fear,no issue,11-04-2025,0,7109.03,108,32.35,16.27
Gujarat,Sugarcane,Negative,infection,22-03-2025,0,3825.03,73,27.47,2.83
Tamil Nadu,Pulses,Neutral,no issue,09-04-2025,1,6158.61,128,33.87,12.91
Andhra Pradesh,Maize,Angry,wilt,05-02-2025,0,4309.69,129,21.07,7.18
Karnataka,Millets,Neutral,blight,09-04-2025,1,9947.89,123,28.18,9.83
Gujarat,Millets,Angry,infection,22-01-2025,1,7216.96,88,25.84,5.5
Maharashtra,Sugarcane,Neutral,borer,25-05-2025,1,8450.81,130,30.22,11.45
Telangana,Soybean,Positive,borer,20-05-2025,0,4529.79,144,36.6,15.03
Telangana,Rice,Angry,wilt,31-03-2025,0,9035.4,65,35.51,4.74
Punjab,Soybean,Fear,infection,07-06-2025,-1,3833.32,66,36.11,11.4
Maharashtra,Sugarcane,Neutral,aphid,30-06-2025,0,5048.44,115,39.71,13.59
Karnataka,Maize,Fear,pest attack,12-03-2025,-1,8943.96,56,24.99,14.23
Punjab,Cotton,Fear,borer,06-02-2025,0,7041.98,103,27.5,1.51
Punjab,Wheat,Fear,healthy crop,13-03-2025,0,7862.93,108,39.01,6.55
Karnataka,Wheat,Angry,aphid,17-01-2025,-1,8390.2,94,36.5,9.89
Telangana,Sugarcane,Optimistic,healthy crop,28-05-2025,0,3914.16,150,26.87,13.65
Karnataka,Rice,Negative,borer,05-01-2025,-1,3598.13,96,29.13,19.84
Tamil Nadu,Cotton,Neutral,wilt,10-02-2025,-1,8845.64,51,33.09,5.01
Telangana,Maize,Positive,rust,10-06-2025,1,5378.45,89,28.58,1.82
Karnataka,Rice,Happy,borer,20-01-2025,0,3928.9,137,28.9,0.16
Telangana,Wheat,Fear,infection,03-05-2025,-1,3319.18,133,36.12,2.06
Telangana,Sugarcane,Neutral,rust,04-02-2025,0,7491.03,58,30.61,0.17
Gujarat,Maize,Angry,aphid,24-02-2025,1,7526.84,112,32.32,8.85
Andhra Pradesh,Wheat,Negative,infection,01-02-2025,-1,6950.21,94,26.29,2.8
Telangana,Wheat,Happy,healthy crop,03-06-2025,0,7200.06,149,38.83,0.54
Punjab,Sugarcane,Happy,healthy crop,05-06-2025,-1,6317.09,77,32.92,15.68
Punjab,Cotton,Angry,rust,29-01-2025,-1,4459.96,49,30.57,19.55
Telangana,Soybean,Neutral,rust,26-05-2025,0,5946.04,72,35.25,19.09
Punjab,Wheat,Positive,no issue,18-01-2025,0,3096.55,57,38.97,7.96
Telangana,Pulses,Fear,rust,22-01-2025,0,7483.76,69,25.55,6.2
Maharashtra,Cotton,Neutral,healthy crop,25-03-2025,1,5961.98,143,33.62,1.32
Gujarat,Pulses,Happy,pest attack,04-03-2025,1,3790.39,118,32.25,1.1
Gujarat,Maize,Negative,pest attack,05-02-2025,0,7910.5,94,30.46,15.66
Gujarat,Sugarcane,Neutral,aphid,02-02-2025,0,8248.43,143,37.73,15.43
Karnataka,Soybean,Fear,wilt,15-05-2025,1,3689.57,133,32.55,9.92
Maharashtra,Soybean,Positive,borer,26-05-2025,-1,4036.71,138,22.06,11.48
Gujarat,Wheat,Happy,healthy crop,01-01-2025,0,3308.27,81,20.92,7.28
Andhra Pradesh,Maize,Positive,healthy crop,17-06-2025,-1,5771.22,93,38.32,6.4
Punjab,Wheat,Optimistic,disease,09-05-2025,-1,7602.75,68,36.09,19.63
Tamil Nadu,Wheat,Angry,wilt,21-03-2025,1,5501.72,61,27.38,5.83
Punjab,Sugarcane,Happy,borer,05-04-2025,1,7340.51,158,35.52,14.65
Maharashtra,Cotton,Neutral,pest attack,15-04-2025,0,3167.37,131,36.79,17.54
